(пробел) = 0.13602941176470587
О = 0.08088235294117647
Н = 0.07536764705882353
А = 0.0661764705882353
И = 0.0661764705882353
Е = 0.05698529411764706
Р = 0.04779411764705882
Т = 0.04779411764705882
Л = 0.04044117647058824
М = 0.034926470588235295
Ь = 0.03125
С = 0.027573529411764705
К = 0.027573529411764705
З = 0.027573529411764705
В = 0.025735294117647058
Ы = 0.02389705882352941
Б = 0.02389705882352941
П = 0.02022058823529412
У = 0.016544117647058824
Д = 0.016544117647058824
Я = 0.016544117647058824
Г = 0.014705882352941176
Ж = 0.012867647058823529
Ф = 0.011029411764705883
Х = 0.011029411764705883
Ю = 0.009191176470588236
Ц = 0.007352941176470588
Ш = 0.007352941176470588
Ч = 0.0055147058823529415
Щ = 0.0055147058823529415
Й = 0.003676470588235294
Э = 0.001838235294117647
